fishcard_seq_number	c19_fishcard_LA11.1.R1.S25.L001	c19_fishcard_LA11.1.R2.S26.L001	c19_fishcard_LA11.1.R3.S27.L001	c19_fishcard_LA11.2.R1.S28.L001	c19_fishcard_LA11.2.R2.S29.L001	c19_fishcard_LA11.2.R3.S30.L001	c19_fishcard_LA11.3.R1.S31.L001	c19_fishcard_LA11.3.R2.S32.L001	c19_fishcard_LA11.3.R3.S33.L001	c19_fishcard_LA11.4.R1.S34.L001	c19_fishcard_LA11.4.R2.S35.L001	c19_fishcard_LA11.4.R3.S36.L001	c19_fishcard_LA11.Blank.S90.L001	c19_fishcard_LA14.1.R1.S37.L001	c19_fishcard_LA14.1.R2.S38.L001	c19_fishcard_LA14.1.R3.S39.L001	c19_fishcard_LA14.2.R1.S40.L001	c19_fishcard_LA14.2.R2.S41.L001	c19_fishcard_LA14.2.R3.S42.L001	c19_fishcard_LA14.3.R1.S43.L001	c19_fishcard_LA14.3.R2.S44.L001	c19_fishcard_LA14.3.R3.S45.L001	c19_fishcard_LA14.4.R1.S46.L001	c19_fishcard_LA14.4.R2.S47.L001	c19_fishcard_LA14.4.R3.S48.L001	c19_fishcard_LA14.Blank.S91.L001	c19_fishcard_LA3.1.R1.S1.L001	c19_fishcard_LA3.1.R2.S2.L001	c19_fishcard_LA3.1.R3.S3.L001	c19_fishcard_LA3.2.R1.S4.L001	c19_fishcard_LA3.2.R2.S5.L001	c19_fishcard_LA3.2.R3.S6.L001	c19_fishcard_LA3.3.R1.S7.L001	c19_fishcard_LA3.3.R2.S8.L001	c19_fishcard_LA3.3.R3.S9.L001	c19_fishcard_LA3.4.R1.S10.L001	c19_fishcard_LA3.4.R2.S11.L001	c19_fishcard_LA3.4.R3.S12.L001	c19_fishcard_LA3.Blank.S88.L001	c19_fishcard_LA3.LA11.ext.S95.L001	c19_fishcard_LA6.1.R1.S13.L001	c19_fishcard_LA6.1.R2.S14.L001	c19_fishcard_LA6.1.R3.S15.L001	c19_fishcard_LA6.2.R1.S16.L001	c19_fishcard_LA6.2.R2.S17.L001	c19_fishcard_LA6.2.R3.S18.L001	c19_fishcard_LA6.3.R1.S19.L001	c19_fishcard_LA6.3.R2.S20.L001	c19_fishcard_LA6.3.R3.S21.L001	c19_fishcard_LA6.4.R1.S22.L001	c19_fishcard_LA6.4.R2.S23.L001	c19_fishcard_LA6.4.R3.S24.L001	c19_fishcard_LA6.Blank.S89.L001	c19_fishcard_LA6.LA14.LB2.ext.S97.L001	c19_fishcard_LB1.0.R1.S85.L001	c19_fishcard_LB1.0.R2.S86.L001	c19_fishcard_LB1.0.R3.S87.L001	c19_fishcard_LB1.1.R1.S49.L001	c19_fishcard_LB1.1.R2.S50.L001	c19_fishcard_LB1.1.R3.S51.L001	c19_fishcard_LB1.2.R1.S52.L001	c19_fishcard_LB1.2.R2.S53.L001	c19_fishcard_LB1.2.R3.S54.L001	c19_fishcard_LB1.3.R1.S55.L001	c19_fishcard_LB1.3.R2.S56.L001	c19_fishcard_LB1.3.R3.S57.L001	c19_fishcard_LB1.4.R1.S58.L001	c19_fishcard_LB1.4.R2.S59.L001	c19_fishcard_LB1.4.R3.S60.L001	c19_fishcard_LB1.Blank.S92.L001	c19_fishcard_LB1.LB14.ext.S98.L001	c19_fishcard_LB14.1.R1.S73.L001	c19_fishcard_LB14.1.R2.S74.L001	c19_fishcard_LB14.1.R3.S75.L001	c19_fishcard_LB14.2.R1.S76.L001	c19_fishcard_LB14.2.R2.S77.L001	c19_fishcard_LB14.2.R3.S78.L001	c19_fishcard_LB14.3.R1.S79.L001	c19_fishcard_LB14.3.R2.S80.L001	c19_fishcard_LB14.3.R3.S81.L001	c19_fishcard_LB14.4.R1.S82.L001	c19_fishcard_LB14.4.R2.S83.L001	c19_fishcard_LB14.4.R3.S84.L001	c19_fishcard_LB14.Blank.S94.L001	c19_fishcard_LB2.1.R1.S61.L001	c19_fishcard_LB2.1.R2.S62.L001	c19_fishcard_LB2.1.R3.S63.L001	c19_fishcard_LB2.2.R1.S64.L001	c19_fishcard_LB2.2.R2.S65.L001	c19_fishcard_LB2.2.R3.S66.L001	c19_fishcard_LB2.3.R1.S67.L001	c19_fishcard_LB2.3.R2.S68.L001	c19_fishcard_LB2.3.R3.S69.L001	c19_fishcard_LB2.4.R1.S70.L001	c19_fishcard_LB2.4.R2.S71.L001	c19_fishcard_LB2.4.R3.S72.L001	c19_fishcard_LB2.Blank.S93.L001	c19_fishcard_PCR.neg1.S96.L001	c19_fishcard_PCR.neg2.S99.L001	sum taxonomy
forward_c19_fishcard_11	3	6	5	0	8	6	3	7	5	2	11	0	0	1	3	0	0	0	0	0	0	0	0	0	2	0	23	4	11	3	10	35	5	15	20	14	11	9	0	0	2	1	0	8	2	3	4	2	1	16	21	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	11	0	0	1	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_c19_fishcard_12	0	2	0	0	1	4	1	3	0	2	4	2	0	0	0	0	0	0	4	1	5	4	3	1	2	0	1	3	2	1	3	1	2	1	0	0	1	1	0	0	5	13	3	4	3	13	6	4	7	4	6	1	0	0	1	0	0	1	2	0	2	1	4	1	2	3	1	3	3	0	0	11	8	5	11	1	8	6	18	7	12	15	12	0	2	2	0	0	0	1	0	4	1	1	2	0	0	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_c19_fishcard_13	1	0	0	0	10	4	7	17	2	6	16	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	3	1	14	2	1	1	6	11	54	25	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;
forward_c19_fishcard_14	6	12	3	2	1	2	0	0	3	16	0	0	0	0	0	0	0	13	0	0	0	21	0	0	0	0	6	2	3	12	1	1	2	3	1	2	6	5	0	0	2	6	1	9	1	7	2	0	12	23	2	5	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	11	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_c19_fishcard_15	0	16	0	0	1	10	2	4	0	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	11	5	4	0	12	12	7	21	28	17	7	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Sarda;Sarda chiliensis
forward_c19_fishcard_16	0	0	0	0	2	1	3	0	1	0	0	0	0	5	1	1	0	1	1	6	9	1	7	3	0	0	8	6	1	6	3	2	1	6	1	3	2	16	0	0	0	2	0	0	1	1	3	0	6	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	21	3	0	1	5	3	0	0	0	0	4	0	0	2	0	1	3	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni
forward_c19_fishcard_17	1	5	1	0	2	0	5	0	1	1	0	1	0	0	9	0	0	0	0	0	1	0	1	0	2	0	1	2	1	3	6	2	1	0	1	1	59	1	0	0	8	1	1	0	0	3	0	5	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	4	1	0	0	4	1	0	1	1	2	1	2	0	0	17	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys californicus
forward_c19_fishcard_18	2	6	0	0	0	9	3	1	1	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	3	0	0	2	1	0	0	0	0	1	1	0	5	3	1	10	15	1	6	1	2	13	0	3	0	0	0	0	0	2	0	0	0	0	0	3	0	1	1	1	3	0	0	3	7	1	0	5	0	0	2	3	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_c19_fishcard_19	3	0	0	2	5	0	5	6	0	1	4	1	0	0	1	0	2	0	1	0	1	3	1	9	0	0	0	2	2	11	0	0	0	0	0	7	40	1	0	0	1	1	0	1	0	0	0	0	0	0	5	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_c19_fishcard_20	0	0	0	0	0	0	0	0	0	0	0	0	0	36	8	1	1	4	7	16	5	1	16	2	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	6	1	4	3	0	1	0	0	0	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;
forward_c19_fishcard_21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	114	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
forward_c19_fishcard_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
forward_c19_fishcard_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	2	0	0	1	0	0	2	15	0	0	0	0	2	0	0	3	0	0	0	0	0	0	2	4	8	2	2	1	3	3	0	2	0	0	0	0	0	5	0	0	0	0	1	1	0	0	0	0	0	0	0	1	6	2	0	9	3	1	0	2	2	6	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_c19_fishcard_24	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	2	0	1	2	1	13	3	2	0	0	2	0	0	0	0	5	0	0	0	5	1	0	0	0	2	1	1	8	3	4	2	2	1	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	3	0	1	0	0	8	2	0	0	1	0	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Gymnogobius;Gymnogobius urotaenia
forward_c19_fishcard_25	3	2	0	1	0	0	3	6	1	1	0	2	0	0	0	0	0	2	0	0	2	2	4	0	1	0	0	0	3	2	10	0	1	5	15	2	3	1	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	5	0	1	0	1	2	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_26	0	0	0	1	0	0	0	7	0	4	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	4	9	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	6	0	0	0	0	0	0	0	0	2	1	4	1	2	0	0	0	1	1	14	0	0	5	0	2	1	1	7	7	6	3	2	1	0	0	0	2	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus davidsonii
forward_c19_fishcard_27	0	1	4	0	2	0	0	1	0	1	2	0	0	1	0	1	0	0	2	12	1	11	6	0	8	0	0	8	1	0	3	1	0	2	0	1	0	1	0	0	3	2	1	1	2	1	6	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata
forward_c19_fishcard_28	2	2	0	2	0	2	30	1	3	5	20	1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	1	0	1	12	9	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Katsuwonus;Katsuwonus pelamis
forward_c19_fishcard_29	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	3	0	2	1	7	0	0	0	4	0	0	0	47	1	0	0	0	1	0	1	0	0	0	0	0	5	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	4	0	0	5	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;Sciaenidae;Cheilotrema;Cheilotrema saturnum
forward_c19_fishcard_30	3	1	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	4	0	1	4	2	4	3	0	4	2	1	16	0	0	1	0	0	0	0	16	0	2	0	0	0	0	0	1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_c19_fishcard_31	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	1	15	8	12	24	2	0	4	1	3	0	0	0	0	0	1	0	0	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;Thunnus alalunga
forward_c19_fishcard_32	0	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	3	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	4	1	3	3	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	2	0	0	0	3	5	2	1	2	1	4	2	5	4	1	5	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_c19_fishcard_33	5	1	0	3	2	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	7	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	7	0	7	1	0	0	5	1	8	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus pulcher
forward_c19_fishcard_34	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	13	0	0	1	7	0	8	2	1	0	1	1	5	4	1	0	0	1	0	0	1	2	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	1	5	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;
forward_c19_fishcard_35	2	1	1	0	3	2	2	3	0	2	2	0	0	2	0	0	0	1	2	2	0	0	0	1	2	0	0	1	1	0	0	0	0	1	2	1	1	1	0	0	0	1	2	0	0	2	3	0	0	0	0	2	0	0	1	1	0	1	3	0	0	2	1	1	1	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	1	2	0	0	1	0	0	0	
forward_c19_fishcard_36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	6	0	2	4	3	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	4	1	0	0	0	2	0	2	1	0	0	0	8	5	0	0	0	Eukaryota;Chordata;Actinopteri;;Sciaenidae;Menticirrhus;Menticirrhus undulatus
